date,iso3,country_name,commodity,conflict_intensity,freight_volatility,export_restriction_sentiment,price_shock,weather_risk
2025-08-31,USA,United States of America,Wheat,0.3511,0.2425,0.3013,0.3116,0.6082
2025-08-31,USA,United States of America,Rice,0.4037,0.6761,0.1978,0.411,0.2549
2025-08-31,USA,United States of America,Corn,0.2117,0.4827,0.1646,0.2994,0.5649
2025-08-31,CAN,Canada,Wheat,0.3386,0.3402,0.4741,0.6047,0.2432
2025-08-31,CAN,Canada,Rice,0.4918,0.5791,0.3371,0.2777,0.7186
2025-08-31,CAN,Canada,Corn,0.2948,0.2764,0.2032,0.6237,0.5419
2025-08-31,MEX,Mexico,Wheat,0.4015,0.5949,0.4449,0.6866,0.4293
2025-08-31,MEX,Mexico,Rice,0.3226,0.6447,0.4902,0.6309,0.5287
2025-08-31,MEX,Mexico,Corn,0.4054,0.2529,0.2753,0.3447,0.2799
2025-08-31,BRA,Brazil,Wheat,0.1214,0.2805,0.3029,0.5178,0.4224
2025-08-31,BRA,Brazil,Rice,0.2191,0.3348,0.2968,0.6683,0.564
2025-08-31,BRA,Brazil,Corn,0.3408,0.3156,0.551,0.2817,0.4297
2025-08-31,ARG,Argentina,Wheat,0.502,0.55,0.4563,0.5423,0.6614
2025-08-31,ARG,Argentina,Rice,0.4417,0.3445,0.1677,0.3577,0.3739
2025-08-31,ARG,Argentina,Corn,0.2016,0.7015,0.632,0.3573,0.5677
2025-08-31,CHL,Chile,Wheat,0.228,0.6873,0.4024,0.3324,0.3633
2025-08-31,CHL,Chile,Rice,0.3385,0.3614,0.4715,0.6489,0.4397
2025-08-31,CHL,Chile,Corn,0.1987,0.7288,0.4302,0.2455,0.2636
2025-08-31,PER,Peru,Wheat,0.0643,0.5437,0.5856,0.4111,0.2718
2025-08-31,PER,Peru,Rice,0.2226,0.7281,0.441,0.6855,0.6704
2025-08-31,PER,Peru,Corn,0.0701,0.5904,0.5249,0.4685,0.3734
2025-08-31,COL,Colombia,Wheat,0.2951,0.2858,0.3891,0.4269,0.7169
2025-08-31,COL,Colombia,Rice,0.4367,0.3617,0.4253,0.2893,0.6963
2025-08-31,COL,Colombia,Corn,0.4484,0.3792,0.5014,0.5045,0.3164
2025-08-31,VEN,Venezuela,Wheat,0.3548,0.4997,0.5782,0.4652,0.2403
2025-08-31,VEN,Venezuela,Rice,0.1934,0.2397,0.661,0.6394,0.6558
2025-08-31,VEN,Venezuela,Corn,0.2,0.259,0.6329,0.6735,0.2828
2025-08-31,ECU,Ecuador,Wheat,0.2204,0.2646,0.5683,0.5829,0.3042
2025-08-31,ECU,Ecuador,Rice,0.2514,0.5049,0.2958,0.6362,0.4516
2025-08-31,ECU,Ecuador,Corn,0.147,0.4996,0.5515,0.3006,0.3959
2025-08-31,GBR,United Kingdom,Wheat,0.5395,0.5549,0.391,0.4588,0.3005
2025-08-31,GBR,United Kingdom,Rice,0.2286,0.399,0.4736,0.3151,0.3501
2025-08-31,GBR,United Kingdom,Corn,0.1736,0.5456,0.2759,0.6527,0.6698
2025-08-31,FRA,France,Wheat,0.1086,0.349,0.5179,0.3071,0.3062
2025-08-31,FRA,France,Rice,0.5335,0.5155,0.41,0.5923,0.6437
2025-08-31,FRA,France,Corn,0.2123,0.2785,0.3871,0.4118,0.4735
2025-08-31,DEU,Germany,Wheat,0.4131,0.5667,0.6913,0.2492,0.4413
2025-08-31,DEU,Germany,Rice,0.2736,0.6608,0.2868,0.2951,0.4643
2025-08-31,DEU,Germany,Corn,0.3248,0.3693,0.2874,0.6616,0.4616
2025-08-31,ESP,Spain,Wheat,0.4543,0.5052,0.1778,0.6996,0.658
2025-08-31,ESP,Spain,Rice,0.5386,0.6932,0.6168,0.2832,0.4828
2025-08-31,ESP,Spain,Corn,0.2128,0.4305,0.1822,0.3895,0.7327
2025-08-31,ITA,Italy,Wheat,0.1893,0.622,0.4003,0.4115,0.7187
2025-08-31,ITA,Italy,Rice,0.5538,0.5079,0.5451,0.2774,0.3884
2025-08-31,ITA,Italy,Corn,0.5559,0.5196,0.4482,0.574,0.2686
2025-08-31,NLD,Netherlands,Wheat,0.3495,0.4814,0.619,0.2787,0.7204
2025-08-31,NLD,Netherlands,Rice,0.1586,0.3229,0.4773,0.5376,0.3576
2025-08-31,NLD,Netherlands,Corn,0.1906,0.6751,0.2854,0.4973,0.5497
2025-08-31,BEL,Belgium,Wheat,0.272,0.5218,0.4375,0.6674,0.3421
2025-08-31,BEL,Belgium,Rice,0.4415,0.3493,0.3677,0.5358,0.39
2025-08-31,BEL,Belgium,Corn,0.2756,0.6059,0.1899,0.4291,0.7392
2025-08-31,PRT,Portugal,Wheat,0.5132,0.2666,0.2672,0.3326,0.7066
2025-08-31,PRT,Portugal,Rice,0.4973,0.6696,0.3532,0.2789,0.6569
2025-08-31,PRT,Portugal,Corn,0.4316,0.5358,0.693,0.527,0.2439
2025-08-31,IRL,Ireland,Wheat,0.456,0.3797,0.5149,0.6695,0.3071
2025-08-31,IRL,Ireland,Rice,0.1761,0.2835,0.4543,0.3362,0.5424
2025-08-31,IRL,Ireland,Corn,0.4612,0.3318,0.4988,0.332,0.4843
2025-08-31,NOR,Norway,Wheat,0.5091,0.6531,0.2008,0.4118,0.3783
2025-08-31,NOR,Norway,Rice,0.1391,0.6156,0.5004,0.331,0.6106
2025-08-31,NOR,Norway,Corn,0.3999,0.4438,0.1553,0.2376,0.6816
2025-08-31,SWE,Sweden,Wheat,0.5101,0.5028,0.609,0.4913,0.314
2025-08-31,SWE,Sweden,Rice,0.1966,0.3841,0.6444,0.5981,0.6704
2025-08-31,SWE,Sweden,Corn,0.5578,0.335,0.2872,0.2514,0.6301
2025-08-31,FIN,Finland,Wheat,0.5045,0.4332,0.4914,0.2773,0.7049
2025-08-31,FIN,Finland,Rice,0.5316,0.7181,0.5959,0.6407,0.2524
2025-08-31,FIN,Finland,Corn,0.4881,0.3961,0.6619,0.6011,0.672
2025-08-31,POL,Poland,Wheat,0.4515,0.3634,0.5831,0.254,0.6761
2025-08-31,POL,Poland,Rice,0.5089,0.3412,0.5991,0.4302,0.3926
2025-08-31,POL,Poland,Corn,0.4946,0.3438,0.163,0.2966,0.4041
2025-08-31,UKR,Ukraine,Wheat,0.5506,0.7134,0.3035,0.5207,0.4398
2025-08-31,UKR,Ukraine,Rice,0.6391,0.4981,0.6666,0.2577,0.7252
2025-08-31,UKR,Ukraine,Corn,0.292,0.7113,0.296,0.2542,0.4573
2025-08-31,ROU,Romania,Wheat,0.4028,0.3868,0.4834,0.4557,0.4326
2025-08-31,ROU,Romania,Rice,0.3703,0.3574,0.5398,0.2008,0.7028
2025-08-31,ROU,Romania,Corn,0.3673,0.5897,0.5581,0.5353,0.4221
2025-08-31,GRC,Greece,Wheat,0.0965,0.5621,0.3316,0.357,0.664
2025-08-31,GRC,Greece,Rice,0.4248,0.3802,0.3201,0.4042,0.4412
2025-08-31,GRC,Greece,Corn,0.248,0.2936,0.3812,0.6702,0.5787
